[76, 79] : 287 => [83, 75] : 287 : 1.0 : 34.30662020905923
[83, 76] : 287 => [75, 79] : 287 : 1.0 : 34.30662020905923
[75, 76, 79] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83, 75, 76] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[83, 76, 79] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [83, 24, 79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [83, 24, 75] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [24, 75, 79] : 287 : 1.0 : 34.30662020905923
[75, 79] : 287 => [83, 24] : 287 : 1.0 : 34.30662020905923
[83, 75] : 287 => [24, 79] : 287 : 1.0 : 34.30662020905923
[24, 75] : 287 => [83, 79] : 287 : 1.0 : 34.30662020905923
[83, 79] : 287 => [24, 75] : 287 : 1.0 : 34.30662020905923
[24, 79] : 287 => [83, 75] : 287 : 1.0 : 34.30662020905923
[83, 24] : 287 => [75, 79] : 287 : 1.0 : 34.30662020905923
[24, 75, 79] : 287 => [83] : 287 : 1.0 : 34.30662020905923
